"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.910787110E-1,-1.113777161E-1,1.061803102E-2,1.718719006E-1,2.050797124E-1
2.958741270E-1,-1.163120270E-1,-3.697037697E-3,1.510243416E-1,1.906580905E-1
3.006695440E-1,-1.070852280E-1,-3.192102909E-2,1.305134296E-1,1.718137173E-1
3.054649610E-1,-1.051435471E-1,-5.739629269E-2,1.102523804E-1,1.628038307E-1
3.102603770E-1,-6.562995911E-2,-7.543981075E-2,1.278717518E-1,1.623257265E-1
3.150557420E-1,-1.976490021E-2,-8.855128288E-2,1.497406960E-1,1.750835715E-1
3.198511590E-1,1.821708679E-2,-1.014875174E-1,1.451096535E-1,1.780123309E-1
3.246465750E-1,2.014160156E-2,-8.838415146E-2,1.520638466E-1,1.770334877E-1
3.294419920E-1,2.660751343E-2,-8.029371500E-2,1.539056301E-1,1.756188584E-1
3.342374090E-1,2.578163147E-2,-5.824601650E-2,1.696267128E-1,1.811919222E-1
3.390328250E-1,2.958965302E-2,-7.193005085E-2,1.755001545E-1,1.919629756E-1
3.438281900E-1,4.038047791E-2,-6.192702055E-2,1.623542309E-1,1.783940446E-1
3.486236060E-1,5.335712433E-2,-3.793525696E-2,1.446282864E-1,1.587558114E-1
3.534190230E-1,6.851100922E-2,-3.546559811E-2,1.507267952E-1,1.693225733E-1
3.582144400E-1,6.461429596E-2,-3.062355518E-2,1.426572800E-1,1.595741486E-1
3.630098560E-1,3.957366943E-2,1.660811901E-2,1.371910572E-1,1.437473169E-1
3.678052730E-1,7.276535034E-4,1.600551605E-2,1.224465370E-1,1.234903253E-1
3.726006380E-1,-2.099514008E-2,3.193694353E-2,1.364638805E-1,1.417150485E-1
3.773960540E-1,-2.811241150E-2,3.587049246E-2,1.105175018E-1,1.195454647E-1
3.821914710E-1,-3.967857361E-2,3.047025204E-2,9.476590157E-2,1.071606344E-1
3.869868880E-1,-3.203582764E-2,2.764052153E-2,7.957434654E-2,9.012418826E-2
3.917823040E-1,-7.862091064E-3,1.785510778E-2,9.547710419E-2,9.744996036E-2
3.965777210E-1,-5.187988281E-4,2.253282070E-2,1.111924648E-1,1.134537853E-1
4.013731380E-1,-3.114700317E-2,2.010470629E-2,1.597118378E-1,1.639579402E-1
4.061685020E-1,-2.837085724E-2,2.476787567E-2,1.981034279E-1,2.016514849E-1
4.109639190E-1,-1.624870300E-2,2.698391676E-2,2.264482975E-1,2.286284837E-1
4.157593360E-1,-2.563190460E-2,1.257801056E-2,2.448701859E-1,2.465291236E-1
4.205547520E-1,-2.794075012E-2,-1.708269119E-3,2.320895195E-1,2.337715739E-1
4.253501690E-1,-3.747558594E-2,-6.476044655E-3,1.978724003E-1,2.014940334E-1
4.301455860E-1,-2.574062347E-2,7.692217827E-3,1.566891670E-1,1.589756113E-1
4.349409500E-1,-2.844810486E-2,-1.144605875E-2,1.346638203E-1,1.381110112E-1
4.397363670E-1,2.082920074E-2,-2.083688974E-2,8.896565437E-2,9.371723020E-2
4.445317840E-1,1.267719269E-2,6.771087646E-4,4.592704773E-2,4.764937989E-2
4.493272000E-1,2.156257629E-3,6.952881813E-4,4.576253891E-2,4.581858619E-2
4.541226170E-1,3.490447998E-3,7.790505886E-3,6.197404861E-2,6.255923522E-2
